round,bank_id,bank_name,strategy,source,f1,auprc,n_test_fraud,alpha
5,0,ULB-Bank0,fedavg,ulb,0.0,0.0,0,0.05
5,1,ULB-Bank1,fedavg,ulb,0.0,0.0,0,0.05
5,2,ULB-Bank2,fedavg,ulb,0.47058823529411764,0.7996043543980585,52,0.05
5,3,ULB-Bank3,fedavg,ulb,0.0,0.0,0,0.05
10,0,ULB-Bank0,fedavg,ulb,0.0,0.0,0,0.05
10,1,ULB-Bank1,fedavg,ulb,0.0,0.0,0,0.05
10,2,ULB-Bank2,fedavg,ulb,0.7160493827160493,0.7976428363686057,52,0.05
10,3,ULB-Bank3,fedavg,ulb,0.0,0.0,0,0.05
15,0,ULB-Bank0,fedavg,ulb,0.0,0.0,0,0.05
15,1,ULB-Bank1,fedavg,ulb,0.0,0.0,0,0.05
15,2,ULB-Bank2,fedavg,ulb,0.7317073170731707,0.7932674968352171,52,0.05
15,3,ULB-Bank3,fedavg,ulb,0.0,0.0,0,0.05
20,0,ULB-Bank0,fedavg,ulb,0.0,0.0,0,0.05
20,1,ULB-Bank1,fedavg,ulb,0.0,0.0,0,0.05
20,2,ULB-Bank2,fedavg,ulb,0.8181818181818182,0.8134605705515853,52,0.05
20,3,ULB-Bank3,fedavg,ulb,0.0,0.0,0,0.05
5,0,ULB-Bank0,fedprox,ulb,0.0,0.0,0,0.05
5,1,ULB-Bank1,fedprox,ulb,0.0,0.0,0,0.05
5,2,ULB-Bank2,fedprox,ulb,0.6133333333333333,0.8063075145924714,52,0.05
5,3,ULB-Bank3,fedprox,ulb,0.0,0.0,0,0.05
10,0,ULB-Bank0,fedprox,ulb,0.0,0.0,0,0.05
10,1,ULB-Bank1,fedprox,ulb,0.0,0.0,0,0.05
10,2,ULB-Bank2,fedprox,ulb,0.7160493827160493,0.799875615674594,52,0.05
10,3,ULB-Bank3,fedprox,ulb,0.0,0.0,0,0.05
15,0,ULB-Bank0,fedprox,ulb,0.0,0.0,0,0.05
15,1,ULB-Bank1,fedprox,ulb,0.0,0.0,0,0.05
15,2,ULB-Bank2,fedprox,ulb,0.7619047619047619,0.8064994735666265,52,0.05
15,3,ULB-Bank3,fedprox,ulb,0.0,0.0,0,0.05
20,0,ULB-Bank0,fedprox,ulb,0.0,0.0,0,0.05
20,1,ULB-Bank1,fedprox,ulb,0.0,0.0,0,0.05
20,2,ULB-Bank2,fedprox,ulb,0.7619047619047619,0.806159541894342,52,0.05
20,3,ULB-Bank3,fedprox,ulb,0.0,0.0,0,0.05
5,0,ULB-Bank0,fednova,ulb,0.0,0.0,0,0.05
5,1,ULB-Bank1,fednova,ulb,0.0,0.0,0,0.05
5,2,ULB-Bank2,fednova,ulb,0.0,0.7882517501976405,52,0.05
5,3,ULB-Bank3,fednova,ulb,0.0,0.0,0,0.05
10,0,ULB-Bank0,fednova,ulb,0.0,0.0,0,0.05
10,1,ULB-Bank1,fednova,ulb,0.0,0.0,0,0.05
10,2,ULB-Bank2,fednova,ulb,0.0,0.8027710408022259,52,0.05
10,3,ULB-Bank3,fednova,ulb,0.0,0.0,0,0.05
15,0,ULB-Bank0,fednova,ulb,0.0,0.0,0,0.05
15,1,ULB-Bank1,fednova,ulb,0.0,0.0,0,0.05
15,2,ULB-Bank2,fednova,ulb,0.0,0.7638729860855004,52,0.05
15,3,ULB-Bank3,fednova,ulb,0.0,0.0,0,0.05
20,0,ULB-Bank0,fednova,ulb,0.0,0.0,0,0.05
20,1,ULB-Bank1,fednova,ulb,0.0,0.0,0,0.05
20,2,ULB-Bank2,fednova,ulb,0.07407407407407407,0.7941986282758684,52,0.05
20,3,ULB-Bank3,fednova,ulb,0.0,0.0,0,0.05
5,0,ULB-Bank0,persfl,ulb,0.0,0.0,0,0.05
5,1,ULB-Bank1,persfl,ulb,0.0,0.0,0,0.05
5,2,ULB-Bank2,persfl,ulb,0.7906976744186046,0.8127470053421838,52,0.05
5,3,ULB-Bank3,persfl,ulb,0.0,0.0,0,0.05
10,0,ULB-Bank0,persfl,ulb,0.0,0.0,0,0.05
10,1,ULB-Bank1,persfl,ulb,0.0,0.0,0,0.05
10,2,ULB-Bank2,persfl,ulb,0.7317073170731707,0.8083463409469019,52,0.05
10,3,ULB-Bank3,persfl,ulb,0.0,0.0,0,0.05
15,0,ULB-Bank0,persfl,ulb,0.0,0.0,0,0.05
15,1,ULB-Bank1,persfl,ulb,0.0,0.0,0,0.05
15,2,ULB-Bank2,persfl,ulb,0.8444444444444444,0.8008661164580724,52,0.05
15,3,ULB-Bank3,persfl,ulb,0.0,0.0,0,0.05
20,0,ULB-Bank0,persfl,ulb,0.0,0.0,0,0.05
20,1,ULB-Bank1,persfl,ulb,0.0,0.0,0,0.05
20,2,ULB-Bank2,persfl,ulb,0.7954545454545454,0.7955757439213504,52,0.05
20,3,ULB-Bank3,persfl,ulb,0.0,0.0,0,0.05
