round,bank_id,bank_name,strategy,source,f1,auprc,n_test_fraud,alpha
5,0,ULB-Bank0,fedavg,ulb,0.0,0.0,0,0.05
5,1,ULB-Bank1,fedavg,ulb,0.0,0.0,0,0.05
5,2,ULB-Bank2,fedavg,ulb,0.8571428571428571,0.8013948547858919,52,0.05
5,3,ULB-Bank3,fedavg,ulb,0.0,0.0,0,0.05
10,0,ULB-Bank0,fedavg,ulb,0.0,0.0,0,0.05
10,1,ULB-Bank1,fedavg,ulb,0.0,0.0,0,0.05
10,2,ULB-Bank2,fedavg,ulb,0.8571428571428571,0.804729206705385,52,0.05
10,3,ULB-Bank3,fedavg,ulb,0.0,0.0,0,0.05
15,0,ULB-Bank0,fedavg,ulb,0.0,0.0,0,0.05
15,1,ULB-Bank1,fedavg,ulb,0.0,0.0,0,0.05
15,2,ULB-Bank2,fedavg,ulb,0.8571428571428571,0.8009346940077923,52,0.05
15,3,ULB-Bank3,fedavg,ulb,0.0,0.0,0,0.05
20,0,ULB-Bank0,fedavg,ulb,0.0,0.0,0,0.05
20,1,ULB-Bank1,fedavg,ulb,0.0,0.0,0,0.05
20,2,ULB-Bank2,fedavg,ulb,0.8478260869565217,0.7993931809351392,52,0.05
20,3,ULB-Bank3,fedavg,ulb,0.0,0.0,0,0.05
5,0,ULB-Bank0,fedprox,ulb,0.0,0.0,0,0.05
5,1,ULB-Bank1,fedprox,ulb,0.0,0.0,0,0.05
5,2,ULB-Bank2,fedprox,ulb,0.8478260869565217,0.8072900468839612,52,0.05
5,3,ULB-Bank3,fedprox,ulb,0.0,0.0,0,0.05
10,0,ULB-Bank0,fedprox,ulb,0.0,0.0,0,0.05
10,1,ULB-Bank1,fedprox,ulb,0.0,0.0,0,0.05
10,2,ULB-Bank2,fedprox,ulb,0.8571428571428571,0.7973901008717784,52,0.05
10,3,ULB-Bank3,fedprox,ulb,0.0,0.0,0,0.05
15,0,ULB-Bank0,fedprox,ulb,0.0,0.0,0,0.05
15,1,ULB-Bank1,fedprox,ulb,0.0,0.0,0,0.05
15,2,ULB-Bank2,fedprox,ulb,0.8571428571428571,0.7912647453255247,52,0.05
15,3,ULB-Bank3,fedprox,ulb,0.0,0.0,0,0.05
20,0,ULB-Bank0,fedprox,ulb,0.0,0.0,0,0.05
20,1,ULB-Bank1,fedprox,ulb,0.0,0.0,0,0.05
20,2,ULB-Bank2,fedprox,ulb,0.8478260869565217,0.8035437109206781,52,0.05
20,3,ULB-Bank3,fedprox,ulb,0.0,0.0,0,0.05
5,0,ULB-Bank0,fednova,ulb,0.0,0.0,0,0.05
5,1,ULB-Bank1,fednova,ulb,0.0,0.0,0,0.05
5,2,ULB-Bank2,fednova,ulb,0.8045977011494253,0.797132018196651,52,0.05
5,3,ULB-Bank3,fednova,ulb,0.0,0.0,0,0.05
10,0,ULB-Bank0,fednova,ulb,0.0,0.0,0,0.05
10,1,ULB-Bank1,fednova,ulb,0.0,0.0,0,0.05
10,2,ULB-Bank2,fednova,ulb,0.8181818181818182,0.7974460837606595,52,0.05
10,3,ULB-Bank3,fednova,ulb,0.0,0.0,0,0.05
15,0,ULB-Bank0,fednova,ulb,0.0,0.0,0,0.05
15,1,ULB-Bank1,fednova,ulb,0.0,0.0,0,0.05
15,2,ULB-Bank2,fednova,ulb,0.8571428571428571,0.7988349304973565,52,0.05
15,3,ULB-Bank3,fednova,ulb,0.0,0.0,0,0.05
20,0,ULB-Bank0,fednova,ulb,0.0,0.0,0,0.05
20,1,ULB-Bank1,fednova,ulb,0.0,0.0,0,0.05
20,2,ULB-Bank2,fednova,ulb,0.8444444444444444,0.798171450373467,52,0.05
20,3,ULB-Bank3,fednova,ulb,0.0,0.0,0,0.05
5,0,ULB-Bank0,persfl,ulb,0.0,0.0,0,0.05
5,1,ULB-Bank1,persfl,ulb,0.0,0.0,0,0.05
5,2,ULB-Bank2,persfl,ulb,0.8478260869565217,0.804916214046859,52,0.05
5,3,ULB-Bank3,persfl,ulb,0.0,0.0,0,0.05
10,0,ULB-Bank0,persfl,ulb,0.0,0.0,0,0.05
10,1,ULB-Bank1,persfl,ulb,0.0,0.0,0,0.05
10,2,ULB-Bank2,persfl,ulb,0.8478260869565217,0.8079300842960652,52,0.05
10,3,ULB-Bank3,persfl,ulb,0.0,0.0,0,0.05
15,0,ULB-Bank0,persfl,ulb,0.0,0.0,0,0.05
15,1,ULB-Bank1,persfl,ulb,0.0,0.0,0,0.05
15,2,ULB-Bank2,persfl,ulb,0.8387096774193549,0.7932407762544192,52,0.05
15,3,ULB-Bank3,persfl,ulb,0.0,0.0,0,0.05
20,0,ULB-Bank0,persfl,ulb,0.0,0.0,0,0.05
20,1,ULB-Bank1,persfl,ulb,0.0,0.0,0,0.05
20,2,ULB-Bank2,persfl,ulb,0.8478260869565217,0.8002805094727371,52,0.05
20,3,ULB-Bank3,persfl,ulb,0.0,0.0,0,0.05
