round,bank_id,bank_name,strategy,source,f1,auprc,n_test_fraud,alpha
5,0,ULB-Bank0,fedavg,ulb,0.4,0.5004597701149426,2,0.05
5,1,ULB-Bank1,fedavg,ulb,0.810126582278481,0.7761691768520643,47,0.05
5,2,ULB-Bank2,fedavg,ulb,0.6666666666666666,0.9166666666666665,3,0.05
5,3,ULB-Bank3,fedavg,ulb,0.0,0.0,0,0.05
10,0,ULB-Bank0,fedavg,ulb,0.6666666666666666,0.5006361323155216,2,0.05
10,1,ULB-Bank1,fedavg,ulb,0.7532467532467533,0.7637151255249777,47,0.05
10,2,ULB-Bank2,fedavg,ulb,0.6666666666666666,0.9166666666666665,3,0.05
10,3,ULB-Bank3,fedavg,ulb,0.0,0.0,0,0.05
15,0,ULB-Bank0,fedavg,ulb,0.6666666666666666,0.5006915629322268,2,0.05
15,1,ULB-Bank1,fedavg,ulb,0.7368421052631579,0.7586667042270355,47,0.05
15,2,ULB-Bank2,fedavg,ulb,0.8571428571428571,1.0,3,0.05
15,3,ULB-Bank3,fedavg,ulb,0.0,0.0,0,0.05
20,0,ULB-Bank0,fedavg,ulb,0.6666666666666666,0.5006176652254478,2,0.05
20,1,ULB-Bank1,fedavg,ulb,0.7792207792207793,0.7454960024145046,47,0.05
20,2,ULB-Bank2,fedavg,ulb,0.8571428571428571,1.0,3,0.05
20,3,ULB-Bank3,fedavg,ulb,0.0,0.0,0,0.05
5,0,ULB-Bank0,fedprox,ulb,0.5,0.5008116883116883,2,0.05
5,1,ULB-Bank1,fedprox,ulb,0.7948717948717948,0.775734124200587,47,0.05
5,2,ULB-Bank2,fedprox,ulb,1.0,1.0,3,0.05
5,3,ULB-Bank3,fedprox,ulb,0.0,0.0,0,0.05
10,0,ULB-Bank0,fedprox,ulb,0.6666666666666666,0.5006802721088436,2,0.05
10,1,ULB-Bank1,fedprox,ulb,0.72,0.7745669035155407,47,0.05
10,2,ULB-Bank2,fedprox,ulb,0.8571428571428571,1.0,3,0.05
10,3,ULB-Bank3,fedprox,ulb,0.0,0.0,0,0.05
15,0,ULB-Bank0,fedprox,ulb,0.5,0.5009823182711198,2,0.05
15,1,ULB-Bank1,fedprox,ulb,0.810126582278481,0.7857249510746627,47,0.05
15,2,ULB-Bank2,fedprox,ulb,0.8571428571428571,1.0,3,0.05
15,3,ULB-Bank3,fedprox,ulb,0.0,0.0,0,0.05
20,0,ULB-Bank0,fedprox,ulb,0.6666666666666666,0.5015503875968992,2,0.05
20,1,ULB-Bank1,fedprox,ulb,0.810126582278481,0.7776241904109845,47,0.05
20,2,ULB-Bank2,fedprox,ulb,0.8571428571428571,1.0,3,0.05
20,3,ULB-Bank3,fedprox,ulb,0.0,0.0,0,0.05
5,0,ULB-Bank0,fednova,ulb,0.5,0.5002483238142538,2,0.05
5,1,ULB-Bank1,fednova,ulb,0.7792207792207793,0.7744266503708666,47,0.05
5,2,ULB-Bank2,fednova,ulb,1.0,1.0,3,0.05
5,3,ULB-Bank3,fednova,ulb,0.0,0.0,0,0.05
10,0,ULB-Bank0,fednova,ulb,0.6666666666666666,0.5004219409282701,2,0.05
10,1,ULB-Bank1,fednova,ulb,0.7792207792207793,0.7774288869024377,47,0.05
10,2,ULB-Bank2,fednova,ulb,1.0,1.0,3,0.05
10,3,ULB-Bank3,fednova,ulb,0.0,0.0,0,0.05
15,0,ULB-Bank0,fednova,ulb,0.6666666666666666,0.5002406738868833,2,0.05
15,1,ULB-Bank1,fednova,ulb,0.6944444444444444,0.7666391930559855,47,0.05
15,2,ULB-Bank2,fednova,ulb,1.0,1.0,3,0.05
15,3,ULB-Bank3,fednova,ulb,0.0,0.0,0,0.05
20,0,ULB-Bank0,fednova,ulb,0.6666666666666666,0.5005310674455656,2,0.05
20,1,ULB-Bank1,fednova,ulb,0.7297297297297297,0.7687547994252313,47,0.05
20,2,ULB-Bank2,fednova,ulb,1.0,1.0,3,0.05
20,3,ULB-Bank3,fednova,ulb,0.0,0.0,0,0.05
5,0,ULB-Bank0,persfl,ulb,0.5,0.5001373249107388,2,0.05
5,1,ULB-Bank1,persfl,ulb,0.825,0.7810532198345407,47,0.05
5,2,ULB-Bank2,persfl,ulb,0.6666666666666666,0.8095238095238095,3,0.05
5,3,ULB-Bank3,persfl,ulb,0.0,0.0,0,0.05
10,0,ULB-Bank0,persfl,ulb,0.5,0.5002015316404675,2,0.05
10,1,ULB-Bank1,persfl,ulb,0.8395061728395061,0.7977830149749957,47,0.05
10,2,ULB-Bank2,persfl,ulb,0.8,1.0,3,0.05
10,3,ULB-Bank3,persfl,ulb,0.0,0.0,0,0.05
15,0,ULB-Bank0,persfl,ulb,0.5,0.5002351834430856,2,0.05
15,1,ULB-Bank1,persfl,ulb,0.8433734939759037,0.796908652054065,47,0.05
15,2,ULB-Bank2,persfl,ulb,0.8,0.9166666666666665,3,0.05
15,3,ULB-Bank3,persfl,ulb,0.0,0.0,0,0.05
20,0,ULB-Bank0,persfl,ulb,0.6666666666666666,0.5012224938875306,2,0.05
20,1,ULB-Bank1,persfl,ulb,0.8148148148148148,0.7991697521366895,47,0.05
20,2,ULB-Bank2,persfl,ulb,0.8,1.0,3,0.05
20,3,ULB-Bank3,persfl,ulb,0.0,0.0,0,0.05
