round,bank_id,bank_name,strategy,source,f1,auprc,n_test_fraud,alpha
5,0,ULB-Bank0,fedavg,ulb,0.7692307692307693,0.8281545981480254,13,0.5
5,1,ULB-Bank1,fedavg,ulb,0.4,0.500805152979066,2,0.5
5,2,ULB-Bank2,fedavg,ulb,0.8148148148148148,0.8326179152357162,15,0.5
5,3,ULB-Bank3,fedavg,ulb,0.7804878048780488,0.7792938249174372,22,0.5
10,0,ULB-Bank0,fedavg,ulb,0.7857142857142857,0.8149633245166744,13,0.5
10,1,ULB-Bank1,fedavg,ulb,0.18181818181818182,0.5005543237250555,2,0.5
10,2,ULB-Bank2,fedavg,ulb,0.8,0.8145771695833652,15,0.5
10,3,ULB-Bank3,fedavg,ulb,0.7391304347826086,0.7666558173701227,22,0.5
15,0,ULB-Bank0,fedavg,ulb,0.7407407407407407,0.8243571877729801,13,0.5
15,1,ULB-Bank1,fedavg,ulb,0.4,0.5007235890014472,2,0.5
15,2,ULB-Bank2,fedavg,ulb,0.8148148148148148,0.8216516231853482,15,0.5
15,3,ULB-Bank3,fedavg,ulb,0.7619047619047619,0.762009752468413,22,0.5
20,0,ULB-Bank0,fedavg,ulb,0.7692307692307693,0.7841642339710332,13,0.5
20,1,ULB-Bank1,fedavg,ulb,0.4,0.5007194244604316,2,0.5
20,2,ULB-Bank2,fedavg,ulb,0.8148148148148148,0.8259944895823927,15,0.5
20,3,ULB-Bank3,fedavg,ulb,0.7391304347826086,0.765938438094984,22,0.5
5,0,ULB-Bank0,fedprox,ulb,0.8333333333333334,0.8315646102531348,13,0.5
5,1,ULB-Bank1,fedprox,ulb,0.5,0.5005112474437627,2,0.5
5,2,ULB-Bank2,fedprox,ulb,0.8,0.8241566915390943,15,0.5
5,3,ULB-Bank3,fedprox,ulb,0.8292682926829268,0.776744322385309,22,0.5
10,0,ULB-Bank0,fedprox,ulb,0.7407407407407407,0.8242732419947609,13,0.5
10,1,ULB-Bank1,fedprox,ulb,0.5,0.5008058017727639,2,0.5
10,2,ULB-Bank2,fedprox,ulb,0.8461538461538461,0.8297248928029718,15,0.5
10,3,ULB-Bank3,fedprox,ulb,0.7804878048780488,0.7845385911881321,22,0.5
15,0,ULB-Bank0,fedprox,ulb,0.7407407407407407,0.8174976427636002,13,0.5
15,1,ULB-Bank1,fedprox,ulb,0.4,0.5009496676163343,2,0.5
15,2,ULB-Bank2,fedprox,ulb,0.8148148148148148,0.8201205488509966,15,0.5
15,3,ULB-Bank3,fedprox,ulb,0.8,0.7864316428796853,22,0.5
20,0,ULB-Bank0,fedprox,ulb,0.7692307692307693,0.818213372905701,13,0.5
20,1,ULB-Bank1,fedprox,ulb,0.3333333333333333,0.5015360983102919,2,0.5
20,2,ULB-Bank2,fedprox,ulb,0.7692307692307693,0.8207127116030016,15,0.5
20,3,ULB-Bank3,fedprox,ulb,0.8,0.7760047341693528,22,0.5
