round,bank_id,bank_name,strategy,source,f1,auprc,n_test_fraud,alpha
5,0,ULB-Bank0,fedavg,ulb,1.0,1.0,1,0.1
5,1,ULB-Bank1,fedavg,ulb,0.8,0.7601752234098476,5,0.1
5,2,ULB-Bank2,fedavg,ulb,0.0,0.0,0,0.1
5,3,ULB-Bank3,fedavg,ulb,0.7894736842105263,0.7734204573629394,46,0.1
10,0,ULB-Bank0,fedavg,ulb,0.6666666666666666,1.0,1,0.1
10,1,ULB-Bank1,fedavg,ulb,0.8,0.8002321262766946,5,0.1
10,2,ULB-Bank2,fedavg,ulb,0.0,0.0,0,0.1
10,3,ULB-Bank3,fedavg,ulb,0.7948717948717948,0.7747820596569849,46,0.1
15,0,ULB-Bank0,fedavg,ulb,1.0,1.0,1,0.1
15,1,ULB-Bank1,fedavg,ulb,0.8888888888888888,0.8003165558721115,5,0.1
15,2,ULB-Bank2,fedavg,ulb,0.0,0.0,0,0.1
15,3,ULB-Bank3,fedavg,ulb,0.8051948051948052,0.7802223001330205,46,0.1
20,0,ULB-Bank0,fedavg,ulb,1.0,1.0,1,0.1
20,1,ULB-Bank1,fedavg,ulb,0.8888888888888888,0.8002313743637205,5,0.1
20,2,ULB-Bank2,fedavg,ulb,0.0,0.0,0,0.1
20,3,ULB-Bank3,fedavg,ulb,0.7733333333333333,0.777864252300892,46,0.1
5,0,ULB-Bank0,fedprox,ulb,0.6666666666666666,1.0,1,0.1
5,1,ULB-Bank1,fedprox,ulb,0.6666666666666666,0.7336111111111112,5,0.1
5,2,ULB-Bank2,fedprox,ulb,0.0,0.0,0,0.1
5,3,ULB-Bank3,fedprox,ulb,0.7848101265822784,0.7773617243546881,46,0.1
10,0,ULB-Bank0,fedprox,ulb,0.6666666666666666,1.0,1,0.1
10,1,ULB-Bank1,fedprox,ulb,0.7272727272727273,0.7604557885141294,5,0.1
10,2,ULB-Bank2,fedprox,ulb,0.0,0.0,0,0.1
10,3,ULB-Bank3,fedprox,ulb,0.7951807228915663,0.7772462295926778,46,0.1
15,0,ULB-Bank0,fedprox,ulb,1.0,1.0,1,0.1
15,1,ULB-Bank1,fedprox,ulb,0.8888888888888888,0.8002836074872377,5,0.1
15,2,ULB-Bank2,fedprox,ulb,0.0,0.0,0,0.1
15,3,ULB-Bank3,fedprox,ulb,0.8051948051948052,0.7830613187658506,46,0.1
20,0,ULB-Bank0,fedprox,ulb,0.6666666666666666,1.0,1,0.1
20,1,ULB-Bank1,fedprox,ulb,0.8888888888888888,0.8002639218791239,5,0.1
20,2,ULB-Bank2,fedprox,ulb,0.0,0.0,0,0.1
20,3,ULB-Bank3,fedprox,ulb,0.7733333333333333,0.7827386732393868,46,0.1
5,0,ULB-Bank0,fednova,ulb,0.5,1.0,1,0.1
5,1,ULB-Bank1,fednova,ulb,0.7272727272727273,0.7335845896147404,5,0.1
5,2,ULB-Bank2,fednova,ulb,0.0,0.0,0,0.1
5,3,ULB-Bank3,fednova,ulb,0.7710843373493976,0.7807532902743475,46,0.1
10,0,ULB-Bank0,fednova,ulb,0.6666666666666666,1.0,1,0.1
10,1,ULB-Bank1,fednova,ulb,0.8,0.760297353553375,5,0.1
10,2,ULB-Bank2,fednova,ulb,0.0,0.0,0,0.1
10,3,ULB-Bank3,fednova,ulb,0.8148148148148148,0.7834242438679033,46,0.1
15,0,ULB-Bank0,fednova,ulb,1.0,1.0,1,0.1
15,1,ULB-Bank1,fednova,ulb,0.8888888888888888,0.8003486750348675,5,0.1
15,2,ULB-Bank2,fednova,ulb,0.0,0.0,0,0.1
15,3,ULB-Bank3,fednova,ulb,0.7631578947368421,0.7613983533432429,46,0.1
20,0,ULB-Bank0,fednova,ulb,0.6666666666666666,1.0,1,0.1
20,1,ULB-Bank1,fednova,ulb,0.8888888888888888,0.8004130524576621,5,0.1
20,2,ULB-Bank2,fednova,ulb,0.0,0.0,0,0.1
20,3,ULB-Bank3,fednova,ulb,0.7894736842105263,0.772840937456622,46,0.1
5,0,ULB-Bank0,persfl,ulb,1.0,1.0,1,0.1
5,1,ULB-Bank1,persfl,ulb,0.8,0.7101092299290005,5,0.1
5,2,ULB-Bank2,persfl,ulb,0.0,0.0,0,0.1
5,3,ULB-Bank3,persfl,ulb,0.8292682926829268,0.7770505352659697,46,0.1
10,0,ULB-Bank0,persfl,ulb,1.0,1.0,1,0.1
10,1,ULB-Bank1,persfl,ulb,0.8,0.7101348617666893,5,0.1
10,2,ULB-Bank2,persfl,ulb,0.0,0.0,0,0.1
10,3,ULB-Bank3,persfl,ulb,0.7906976744186046,0.7714168820152822,46,0.1
15,0,ULB-Bank0,persfl,ulb,0.6666666666666666,1.0,1,0.1
15,1,ULB-Bank1,persfl,ulb,0.7272727272727273,0.7101930501930502,5,0.1
15,2,ULB-Bank2,persfl,ulb,0.0,0.0,0,0.1
15,3,ULB-Bank3,persfl,ulb,0.8148148148148148,0.7795666552174757,46,0.1
20,0,ULB-Bank0,persfl,ulb,1.0,1.0,1,0.1
20,1,ULB-Bank1,persfl,ulb,0.6666666666666666,0.8001621796951022,5,0.1
20,2,ULB-Bank2,persfl,ulb,0.0,0.0,0,0.1
20,3,ULB-Bank3,persfl,ulb,0.7640449438202247,0.775417731156031,46,0.1
