round,bank_id,bank_name,strategy,source,f1,auprc,n_test_fraud,alpha
5,0,ULB-Bank0,fedavg,ulb,0.6666666666666666,1.0,1,0.1
5,1,ULB-Bank1,fedavg,ulb,0.0,0.0,0,0.1
5,2,ULB-Bank2,fedavg,ulb,0.8378378378378378,0.7649345409647504,43,0.1
5,3,ULB-Bank3,fedavg,ulb,0.9333333333333333,0.9226190476190477,8,0.1
10,0,ULB-Bank0,fedavg,ulb,0.6666666666666666,1.0,1,0.1
10,1,ULB-Bank1,fedavg,ulb,0.0,0.0,0,0.1
10,2,ULB-Bank2,fedavg,ulb,0.821917808219178,0.7584218705346417,43,0.1
10,3,ULB-Bank3,fedavg,ulb,0.875,0.8977272727272727,8,0.1
15,0,ULB-Bank0,fedavg,ulb,1.0,1.0,1,0.1
15,1,ULB-Bank1,fedavg,ulb,0.0,0.0,0,0.1
15,2,ULB-Bank2,fedavg,ulb,0.75,0.7521261858729555,43,0.1
15,3,ULB-Bank3,fedavg,ulb,0.8235294117647058,0.9427083333333333,8,0.1
20,0,ULB-Bank0,fedavg,ulb,1.0,1.0,1,0.1
20,1,ULB-Bank1,fedavg,ulb,0.0,0.0,0,0.1
20,2,ULB-Bank2,fedavg,ulb,0.7536231884057971,0.7667643468780422,43,0.1
20,3,ULB-Bank3,fedavg,ulb,0.9333333333333333,0.9375,8,0.1
5,0,ULB-Bank0,fedprox,ulb,0.6666666666666666,1.0,1,0.1
5,1,ULB-Bank1,fedprox,ulb,0.0,0.0,0,0.1
5,2,ULB-Bank2,fedprox,ulb,0.8108108108108109,0.7600533068249691,43,0.1
5,3,ULB-Bank3,fedprox,ulb,0.875,0.9583333333333333,8,0.1
10,0,ULB-Bank0,fedprox,ulb,0.6666666666666666,1.0,1,0.1
10,1,ULB-Bank1,fedprox,ulb,0.0,0.0,0,0.1
10,2,ULB-Bank2,fedprox,ulb,0.8108108108108109,0.7590452745402037,43,0.1
10,3,ULB-Bank3,fedprox,ulb,0.875,0.9519230769230769,8,0.1
15,0,ULB-Bank0,fedprox,ulb,0.6666666666666666,1.0,1,0.1
15,1,ULB-Bank1,fedprox,ulb,0.0,0.0,0,0.1
15,2,ULB-Bank2,fedprox,ulb,0.7945205479452054,0.7588600396353727,43,0.1
15,3,ULB-Bank3,fedprox,ulb,0.9333333333333333,0.9519230769230769,8,0.1
20,0,ULB-Bank0,fedprox,ulb,0.6666666666666666,1.0,1,0.1
20,1,ULB-Bank1,fedprox,ulb,0.0,0.0,0,0.1
20,2,ULB-Bank2,fedprox,ulb,0.8157894736842105,0.7594275043116306,43,0.1
20,3,ULB-Bank3,fedprox,ulb,0.8235294117647058,0.959375,8,0.1
5,0,ULB-Bank0,fednova,ulb,0.6666666666666666,1.0,1,0.1
5,1,ULB-Bank1,fednova,ulb,0.0,0.0,0,0.1
5,2,ULB-Bank2,fednova,ulb,0.8378378378378378,0.7537087530220553,43,0.1
5,3,ULB-Bank3,fednova,ulb,0.9333333333333333,0.9659090909090909,8,0.1
10,0,ULB-Bank0,fednova,ulb,0.6666666666666666,1.0,1,0.1
10,1,ULB-Bank1,fednova,ulb,0.0,0.0,0,0.1
10,2,ULB-Bank2,fednova,ulb,0.821917808219178,0.7644635193850681,43,0.1
10,3,ULB-Bank3,fednova,ulb,0.9333333333333333,0.9659090909090909,8,0.1
15,0,ULB-Bank0,fednova,ulb,1.0,1.0,1,0.1
15,1,ULB-Bank1,fednova,ulb,0.0,0.0,0,0.1
15,2,ULB-Bank2,fednova,ulb,0.821917808219178,0.7686452722521658,43,0.1
15,3,ULB-Bank3,fednova,ulb,0.9333333333333333,0.9519230769230769,8,0.1
20,0,ULB-Bank0,fednova,ulb,1.0,1.0,1,0.1
20,1,ULB-Bank1,fednova,ulb,0.0,0.0,0,0.1
20,2,ULB-Bank2,fednova,ulb,0.8055555555555556,0.7683092270987605,43,0.1
20,3,ULB-Bank3,fednova,ulb,0.9333333333333333,0.9583333333333333,8,0.1
5,0,ULB-Bank0,persfl,ulb,0.0,1.0,1,0.1
5,1,ULB-Bank1,persfl,ulb,0.0,0.0,0,0.1
5,2,ULB-Bank2,persfl,ulb,0.8055555555555556,0.7716236225527898,43,0.1
5,3,ULB-Bank3,persfl,ulb,0.8571428571428571,0.902027027027027,8,0.1
10,0,ULB-Bank0,persfl,ulb,1.0,1.0,1,0.1
10,1,ULB-Bank1,persfl,ulb,0.0,0.0,0,0.1
10,2,ULB-Bank2,persfl,ulb,0.7945205479452054,0.7575814762053114,43,0.1
10,3,ULB-Bank3,persfl,ulb,0.8,0.9308035714285714,8,0.1
15,0,ULB-Bank0,persfl,ulb,1.0,1.0,1,0.1
15,1,ULB-Bank1,persfl,ulb,0.0,0.0,0,0.1
15,2,ULB-Bank2,persfl,ulb,0.7945205479452054,0.7670932499339072,43,0.1
15,3,ULB-Bank3,persfl,ulb,0.9333333333333333,0.975,8,0.1
20,0,ULB-Bank0,persfl,ulb,1.0,1.0,1,0.1
20,1,ULB-Bank1,persfl,ulb,0.0,0.0,0,0.1
20,2,ULB-Bank2,persfl,ulb,0.8,0.7602304748149331,43,0.1
20,3,ULB-Bank3,persfl,ulb,0.8,0.9502840909090909,8,0.1
