round,bank_id,bank_name,strategy,source,f1,auprc,n_test_fraud,alpha,dataset
5,0,IBM-Bank0,fedavg,ibm,0.4165050704135804,0.2707082153317385,8230,0.05,LI-Large
5,1,IBM-Bank1,fedavg,ibm,0.0,0.0,0,0.05,LI-Large
5,2,IBM-Bank2,fedavg,ibm,0.005385694249649369,0.003118567679516568,65,0.05,LI-Large
5,3,IBM-Bank3,fedavg,ibm,0.4881954763084035,0.33843532571248947,11134,0.05,LI-Large
10,0,IBM-Bank0,fedavg,ibm,0.4049361279920625,0.31597264404156944,8230,0.05,LI-Large
10,1,IBM-Bank1,fedavg,ibm,0.0,0.0,0,0.05,LI-Large
10,2,IBM-Bank2,fedavg,ibm,0.005248769819573538,0.004031904518291316,65,0.05,LI-Large
10,3,IBM-Bank3,fedavg,ibm,0.4758140410314323,0.3918223231517784,11134,0.05,LI-Large
15,0,IBM-Bank0,fedavg,ibm,0.4185926902182648,0.32252718457389545,8230,0.05,LI-Large
15,1,IBM-Bank1,fedavg,ibm,0.0,0.0,0,0.05,LI-Large
15,2,IBM-Bank2,fedavg,ibm,0.005579449029408346,0.0047584762041602115,65,0.05,LI-Large
15,3,IBM-Bank3,fedavg,ibm,0.49005369612998356,0.4022208931619543,11134,0.05,LI-Large
20,0,IBM-Bank0,fedavg,ibm,0.4100737407824022,0.3106590368627812,8230,0.05,LI-Large
20,1,IBM-Bank1,fedavg,ibm,0.0,0.0,0,0.05,LI-Large
20,2,IBM-Bank2,fedavg,ibm,0.005258833196384552,0.0030342467658658317,65,0.05,LI-Large
20,3,IBM-Bank3,fedavg,ibm,0.4810648160698311,0.38682159209892314,11134,0.05,LI-Large
5,0,IBM-Bank0,fedprox,ibm,0.42229388579432553,0.31670479828981735,8230,0.05,LI-Large
5,1,IBM-Bank1,fedprox,ibm,0.0,0.0,0,0.05,LI-Large
5,2,IBM-Bank2,fedprox,ibm,0.005683500088804689,0.0026615668273658553,65,0.05,LI-Large
5,3,IBM-Bank3,fedprox,ibm,0.49359064656993945,0.38981205275633846,11134,0.05,LI-Large
10,0,IBM-Bank0,fedprox,ibm,0.43477086217959543,0.3280652159038301,8230,0.05,LI-Large
10,1,IBM-Bank1,fedprox,ibm,0.0,0.0,0,0.05,LI-Large
10,2,IBM-Bank2,fedprox,ibm,0.005955397871262038,0.004315971945003754,65,0.05,LI-Large
10,3,IBM-Bank3,fedprox,ibm,0.5056415028498313,0.4041751484413026,11134,0.05,LI-Large
15,0,IBM-Bank0,fedprox,ibm,0.41030817272813297,0.35131247191040293,8230,0.05,LI-Large
15,1,IBM-Bank1,fedprox,ibm,0.0,0.0,0,0.05,LI-Large
15,2,IBM-Bank2,fedprox,ibm,0.005392349603999326,0.0036078313999019732,65,0.05,LI-Large
15,3,IBM-Bank3,fedprox,ibm,0.4812284824307339,0.42367039578528787,11134,0.05,LI-Large
20,0,IBM-Bank0,fedprox,ibm,0.4,0.33542011163260355,8230,0.05,LI-Large
20,1,IBM-Bank1,fedprox,ibm,0.0,0.0,0,0.05,LI-Large
20,2,IBM-Bank2,fedprox,ibm,0.004726502880212692,0.005857226503605921,65,0.05,LI-Large
20,3,IBM-Bank3,fedprox,ibm,0.47124854389494863,0.40852745658910716,11134,0.05,LI-Large
5,0,IBM-Bank0,fednova,ibm,0.42449225819424896,0.32576213306049606,8230,0.05,LI-Large
5,1,IBM-Bank1,fednova,ibm,0.0,0.0,0,0.05,LI-Large
5,2,IBM-Bank2,fednova,ibm,0.005644518068593165,0.003858171011822498,65,0.05,LI-Large
5,3,IBM-Bank3,fednova,ibm,0.4977464463191957,0.40687651071522346,11134,0.05,LI-Large
10,0,IBM-Bank0,fednova,ibm,0.4428028401348347,0.3331798338913903,8230,0.05,LI-Large
10,1,IBM-Bank1,fednova,ibm,0.0,0.0,0,0.05,LI-Large
10,2,IBM-Bank2,fednova,ibm,0.006532314107018763,0.003161132515202946,65,0.05,LI-Large
10,3,IBM-Bank3,fednova,ibm,0.5134226135877209,0.40856073028507717,11134,0.05,LI-Large
15,0,IBM-Bank0,fednova,ibm,0.4465807297356347,0.3413725150597895,8230,0.05,LI-Large
15,1,IBM-Bank1,fednova,ibm,0.0,0.0,0,0.05,LI-Large
15,2,IBM-Bank2,fednova,ibm,0.006389776357827476,0.0037059833328422385,65,0.05,LI-Large
15,3,IBM-Bank3,fednova,ibm,0.5170749929956728,0.42021403232294186,11134,0.05,LI-Large
20,0,IBM-Bank0,fednova,ibm,0.43083700440528633,0.32009056704672273,8230,0.05,LI-Large
20,1,IBM-Bank1,fednova,ibm,0.0,0.0,0,0.05,LI-Large
20,2,IBM-Bank2,fednova,ibm,0.0059045226130653265,0.003440533708628085,65,0.05,LI-Large
20,3,IBM-Bank3,fednova,ibm,0.5033468767355529,0.3990045227938137,11134,0.05,LI-Large
5,0,IBM-Bank0,persfl,ibm,0.4139925197221611,0.36087417067566896,8230,0.05,LI-Large
5,1,IBM-Bank1,persfl,ibm,0.0,0.0,0,0.05,LI-Large
5,2,IBM-Bank2,persfl,ibm,0.003473329789119263,0.0029960725722646105,65,0.05,LI-Large
5,3,IBM-Bank3,persfl,ibm,0.4901166156645439,0.428003250494053,11134,0.05,LI-Large
10,0,IBM-Bank0,persfl,ibm,0.4196242839312574,0.3299343056800438,8230,0.05,LI-Large
10,1,IBM-Bank1,persfl,ibm,0.0,0.0,0,0.05,LI-Large
10,2,IBM-Bank2,persfl,ibm,0.0031139779479520827,0.0028416649972450416,65,0.05,LI-Large
10,3,IBM-Bank3,persfl,ibm,0.482801413656352,0.4282421835431843,11134,0.05,LI-Large
15,0,IBM-Bank0,persfl,ibm,0.41329361968960654,0.36421577199602934,8230,0.05,LI-Large
15,1,IBM-Bank1,persfl,ibm,0.0,0.0,0,0.05,LI-Large
15,2,IBM-Bank2,persfl,ibm,0.0037219901253323206,0.0025038832343039223,65,0.05,LI-Large
15,3,IBM-Bank3,persfl,ibm,0.4866016553306564,0.42826445309935984,11134,0.05,LI-Large
20,0,IBM-Bank0,persfl,ibm,0.4081229553731251,0.3566151077796777,8230,0.05,LI-Large
20,1,IBM-Bank1,persfl,ibm,0.0,0.0,0,0.05,LI-Large
20,2,IBM-Bank2,persfl,ibm,0.003683379688792002,0.0027522346516521143,65,0.05,LI-Large
20,3,IBM-Bank3,persfl,ibm,0.4746500942819961,0.42333725693354135,11134,0.05,LI-Large
5,0,IBM-Bank0,scaffold,ibm,0.4397238449283059,0.3133141432016613,8230,0.05,LI-Large
5,1,IBM-Bank1,scaffold,ibm,0.0,0.0,0,0.05,LI-Large
5,2,IBM-Bank2,scaffold,ibm,0.006207827260458839,0.003190936478628289,65,0.05,LI-Large
5,3,IBM-Bank3,scaffold,ibm,0.5113339410513522,0.39072869194519577,11134,0.05,LI-Large
10,0,IBM-Bank0,scaffold,ibm,0.4456054967077011,0.3311178273592338,8230,0.05,LI-Large
10,1,IBM-Bank1,scaffold,ibm,0.0,0.0,0,0.05,LI-Large
10,2,IBM-Bank2,scaffold,ibm,0.006389776357827476,0.004276527346900624,65,0.05,LI-Large
10,3,IBM-Bank3,scaffold,ibm,0.5148048452220727,0.41217388925986215,11134,0.05,LI-Large
15,0,IBM-Bank0,scaffold,ibm,0.44222681588138857,0.30974503557305677,8230,0.05,LI-Large
15,1,IBM-Bank1,scaffold,ibm,0.0,0.0,0,0.05,LI-Large
15,2,IBM-Bank2,scaffold,ibm,0.006299643933168995,0.003058154344916946,65,0.05,LI-Large
15,3,IBM-Bank3,scaffold,ibm,0.5151932433673001,0.38938641187512657,11134,0.05,LI-Large
20,0,IBM-Bank0,scaffold,ibm,0.4275704850983942,0.29257010393054983,8230,0.05,LI-Large
20,1,IBM-Bank1,scaffold,ibm,0.0,0.0,0,0.05,LI-Large
20,2,IBM-Bank2,scaffold,ibm,0.0058309037900874635,0.0025063294801780304,65,0.05,LI-Large
20,3,IBM-Bank3,scaffold,ibm,0.5001445170241055,0.36786808059815634,11134,0.05,LI-Large
