round,bank_id,bank_name,strategy,source,f1,auprc,n_test_fraud,alpha,dataset
5,0,IBM-Bank0,fedavg,ibm,0.38151819663226505,0.3205104570602399,6992,0.5,LI-Large
5,1,IBM-Bank1,fedavg,ibm,0.05621301775147929,0.04512579864952661,632,0.5,LI-Large
5,2,IBM-Bank2,fedavg,ibm,0.3962650125379438,0.3392087849496465,7461,0.5,LI-Large
5,3,IBM-Bank3,fedavg,ibm,0.28651662855538174,0.23971165166884612,4458,0.5,LI-Large
10,0,IBM-Bank0,fedavg,ibm,0.38001958863858964,0.3309129072424415,6992,0.5,LI-Large
10,1,IBM-Bank1,fedavg,ibm,0.05552548977162031,0.047098799552465036,632,0.5,LI-Large
10,2,IBM-Bank2,fedavg,ibm,0.3948923319327731,0.3476320541654247,7461,0.5,LI-Large
10,3,IBM-Bank3,fedavg,ibm,0.28499641062455133,0.24751716758676362,4458,0.5,LI-Large
15,0,IBM-Bank0,fedavg,ibm,0.3824299955768773,0.3223463767154893,6992,0.5,LI-Large
15,1,IBM-Bank1,fedavg,ibm,0.05615882417461884,0.04752801407106595,632,0.5,LI-Large
15,2,IBM-Bank2,fedavg,ibm,0.3968542444569276,0.3422442111907291,7461,0.5,LI-Large
15,3,IBM-Bank3,fedavg,ibm,0.28719597989949747,0.24101585069073858,4458,0.5,LI-Large
20,0,IBM-Bank0,fedavg,ibm,0.38448104646782866,0.3338312857309718,6992,0.5,LI-Large
20,1,IBM-Bank1,fedavg,ibm,0.05677919203099059,0.049209334488471444,632,0.5,LI-Large
20,2,IBM-Bank2,fedavg,ibm,0.39922725910135565,0.3470711879646715,7461,0.5,LI-Large
20,3,IBM-Bank3,fedavg,ibm,0.28894197675831074,0.2509795983144718,4458,0.5,LI-Large
5,0,IBM-Bank0,fedprox,ibm,0.38681652071985106,0.32772805448417164,6992,0.5,LI-Large
5,1,IBM-Bank1,fedprox,ibm,0.057478991596638655,0.046404011879689795,632,0.5,LI-Large
5,2,IBM-Bank2,fedprox,ibm,0.4009242825089582,0.3466522810878421,7461,0.5,LI-Large
5,3,IBM-Bank3,fedprox,ibm,0.2913993871297242,0.24654576398406708,4458,0.5,LI-Large
10,0,IBM-Bank0,fedprox,ibm,0.38560340682739197,0.3233442717885517,6992,0.5,LI-Large
10,1,IBM-Bank1,fedprox,ibm,0.057012669482107134,0.04666517878365763,632,0.5,LI-Large
10,2,IBM-Bank2,fedprox,ibm,0.3999066728884741,0.3418915915351678,7461,0.5,LI-Large
10,3,IBM-Bank3,fedprox,ibm,0.2899764246809203,0.24275362007490334,4458,0.5,LI-Large
15,0,IBM-Bank0,fedprox,ibm,0.3810943588006099,0.32432215615344484,6992,0.5,LI-Large
15,1,IBM-Bank1,fedprox,ibm,0.05597992143168922,0.045716463594081644,632,0.5,LI-Large
15,2,IBM-Bank2,fedprox,ibm,0.39565002471576866,0.3421913453384893,7461,0.5,LI-Large
15,3,IBM-Bank3,fedprox,ibm,0.28630988173982763,0.24257140330539756,4458,0.5,LI-Large
20,0,IBM-Bank0,fedprox,ibm,0.378538290862637,0.3240375213669887,6992,0.5,LI-Large
20,1,IBM-Bank1,fedprox,ibm,0.055321902296991264,0.04617098619731442,632,0.5,LI-Large
20,2,IBM-Bank2,fedprox,ibm,0.3936354428725455,0.3400903950745754,7461,0.5,LI-Large
20,3,IBM-Bank3,fedprox,ibm,0.2839329679930109,0.24474859331518276,4458,0.5,LI-Large
5,0,IBM-Bank0,fednova,ibm,0.38322822566899606,0.31803641348457645,6992,0.5,LI-Large
5,1,IBM-Bank1,fednova,ibm,0.056355047786444026,0.04691388193704654,632,0.5,LI-Large
5,2,IBM-Bank2,fednova,ibm,0.39815826956838585,0.33811142618518564,7461,0.5,LI-Large
5,3,IBM-Bank3,fednova,ibm,0.28778601353528843,0.23815346471939117,4458,0.5,LI-Large
10,0,IBM-Bank0,fednova,ibm,0.378117133747273,0.33424771773822254,6992,0.5,LI-Large
