round,bank_id,bank_name,strategy,source,f1,auprc,n_test_fraud,alpha
5,0,ULB-Bank0,fedavg,ulb,0.7764705882352941,0.8290782343179127,52,0.05
5,1,ULB-Bank1,fedavg,ulb,0.0,0.0,0,0.05
5,2,ULB-Bank2,fedavg,ulb,0.0,0.0,0,0.05
5,3,ULB-Bank3,fedavg,ulb,0.0,0.0,0,0.05
10,0,ULB-Bank0,fedavg,ulb,0.7160493827160493,0.799326438813212,52,0.05
10,1,ULB-Bank1,fedavg,ulb,0.0,0.0,0,0.05
10,2,ULB-Bank2,fedavg,ulb,0.0,0.0,0,0.05
10,3,ULB-Bank3,fedavg,ulb,0.0,0.0,0,0.05
15,0,ULB-Bank0,fedavg,ulb,0.6133333333333333,0.7976439894997612,52,0.05
15,1,ULB-Bank1,fedavg,ulb,0.0,0.0,0,0.05
15,2,ULB-Bank2,fedavg,ulb,0.0,0.0,0,0.05
15,3,ULB-Bank3,fedavg,ulb,0.0,0.0,0,0.05
20,0,ULB-Bank0,fedavg,ulb,0.7160493827160493,0.8051101167680469,52,0.05
20,1,ULB-Bank1,fedavg,ulb,0.0,0.0,0,0.05
20,2,ULB-Bank2,fedavg,ulb,0.0,0.0,0,0.05
20,3,ULB-Bank3,fedavg,ulb,0.0,0.0,0,0.05
5,0,ULB-Bank0,fedprox,ulb,0.7906976744186046,0.8247323468755933,52,0.05
5,1,ULB-Bank1,fedprox,ulb,0.0,0.0,0,0.05
5,2,ULB-Bank2,fedprox,ulb,0.0,0.0,0,0.05
5,3,ULB-Bank3,fedprox,ulb,0.0,0.0,0,0.05
10,0,ULB-Bank0,fedprox,ulb,0.7228915662650602,0.8123440853870686,52,0.05
10,1,ULB-Bank1,fedprox,ulb,0.0,0.0,0,0.05
10,2,ULB-Bank2,fedprox,ulb,0.0,0.0,0,0.05
10,3,ULB-Bank3,fedprox,ulb,0.0,0.0,0,0.05
15,0,ULB-Bank0,fedprox,ulb,0.6133333333333333,0.7982426131308784,52,0.05
15,1,ULB-Bank1,fedprox,ulb,0.0,0.0,0,0.05
15,2,ULB-Bank2,fedprox,ulb,0.0,0.0,0,0.05
15,3,ULB-Bank3,fedprox,ulb,0.0,0.0,0,0.05
20,0,ULB-Bank0,fedprox,ulb,0.631578947368421,0.7958419452019149,52,0.05
20,1,ULB-Bank1,fedprox,ulb,0.0,0.0,0,0.05
20,2,ULB-Bank2,fedprox,ulb,0.0,0.0,0,0.05
20,3,ULB-Bank3,fedprox,ulb,0.0,0.0,0,0.05
5,0,ULB-Bank0,fednova,ulb,0.5753424657534246,0.7887184643017545,52,0.05
5,1,ULB-Bank1,fednova,ulb,0.0,0.0,0,0.05
5,2,ULB-Bank2,fednova,ulb,0.0,0.0,0,0.05
5,3,ULB-Bank3,fednova,ulb,0.0,0.0,0,0.05
10,0,ULB-Bank0,fednova,ulb,0.07407407407407407,0.8002477892484461,52,0.05
10,1,ULB-Bank1,fednova,ulb,0.0,0.0,0,0.05
10,2,ULB-Bank2,fednova,ulb,0.0,0.0,0,0.05
10,3,ULB-Bank3,fednova,ulb,0.0,0.0,0,0.05
15,0,ULB-Bank0,fednova,ulb,0.0,0.7656967890153996,52,0.05
15,1,ULB-Bank1,fednova,ulb,0.0,0.0,0,0.05
15,2,ULB-Bank2,fednova,ulb,0.0,0.0,0,0.05
15,3,ULB-Bank3,fednova,ulb,0.0,0.0,0,0.05
20,0,ULB-Bank0,fednova,ulb,0.0,0.7607934256748986,52,0.05
20,1,ULB-Bank1,fednova,ulb,0.0,0.0,0,0.05
20,2,ULB-Bank2,fednova,ulb,0.0,0.0,0,0.05
20,3,ULB-Bank3,fednova,ulb,0.0,0.0,0,0.05
5,0,ULB-Bank0,persfl,ulb,0.8314606741573034,0.8376221760397536,52,0.05
5,1,ULB-Bank1,persfl,ulb,0.0,0.0,0,0.05
5,2,ULB-Bank2,persfl,ulb,0.0,0.0,0,0.05
5,3,ULB-Bank3,persfl,ulb,0.0,0.0,0,0.05
10,0,ULB-Bank0,persfl,ulb,0.8045977011494253,0.820568514257572,52,0.05
10,1,ULB-Bank1,persfl,ulb,0.0,0.0,0,0.05
10,2,ULB-Bank2,persfl,ulb,0.0,0.0,0,0.05
10,3,ULB-Bank3,persfl,ulb,0.0,0.0,0,0.05
15,0,ULB-Bank0,persfl,ulb,0.8260869565217391,0.8128695165733896,52,0.05
15,1,ULB-Bank1,persfl,ulb,0.0,0.0,0,0.05
15,2,ULB-Bank2,persfl,ulb,0.0,0.0,0,0.05
15,3,ULB-Bank3,persfl,ulb,0.0,0.0,0,0.05
20,0,ULB-Bank0,persfl,ulb,0.8131868131868132,0.810827626584248,52,0.05
20,1,ULB-Bank1,persfl,ulb,0.0,0.0,0,0.05
20,2,ULB-Bank2,persfl,ulb,0.0,0.0,0,0.05
20,3,ULB-Bank3,persfl,ulb,0.0,0.0,0,0.05
