round,bank_id,bank_name,strategy,source,f1,auprc,n_test_fraud,alpha,dataset
5,0,IEEE-Bank0,fedavg,ieee,0.23512195121951218,0.4390239152625616,1790,0.1,ieee_cis
5,1,IEEE-Bank1,fedavg,ieee,0.1518987341772152,0.09043434199495408,12,0.1,ieee_cis
5,2,IEEE-Bank2,fedavg,ieee,0.0,0.0,0,0.1,ieee_cis
5,3,IEEE-Bank3,fedavg,ieee,0.24085163007318697,0.39471261728663454,1286,0.1,ieee_cis
10,0,IEEE-Bank0,fedavg,ieee,0.23512195121951218,0.4390239152625616,1790,0.1,ieee_cis
10,1,IEEE-Bank1,fedavg,ieee,0.1518987341772152,0.09043434199495408,12,0.1,ieee_cis
10,2,IEEE-Bank2,fedavg,ieee,0.0,0.0,0,0.1,ieee_cis
10,3,IEEE-Bank3,fedavg,ieee,0.24085163007318697,0.39471261728663454,1286,0.1,ieee_cis
15,0,IEEE-Bank0,fedavg,ieee,0.23512195121951218,0.4390239152625616,1790,0.1,ieee_cis
15,1,IEEE-Bank1,fedavg,ieee,0.1518987341772152,0.09043434199495408,12,0.1,ieee_cis
15,2,IEEE-Bank2,fedavg,ieee,0.0,0.0,0,0.1,ieee_cis
15,3,IEEE-Bank3,fedavg,ieee,0.24085163007318697,0.39471261728663454,1286,0.1,ieee_cis
20,0,IEEE-Bank0,fedavg,ieee,0.23512195121951218,0.4390239152625616,1790,0.1,ieee_cis
20,1,IEEE-Bank1,fedavg,ieee,0.1518987341772152,0.09043434199495408,12,0.1,ieee_cis
20,2,IEEE-Bank2,fedavg,ieee,0.0,0.0,0,0.1,ieee_cis
20,3,IEEE-Bank3,fedavg,ieee,0.24085163007318697,0.39471261728663454,1286,0.1,ieee_cis
5,0,IEEE-Bank0,fedprox,ieee,0.2840855106888361,0.489178150683516,1790,0.1,ieee_cis
5,1,IEEE-Bank1,fedprox,ieee,0.18461538461538463,0.08433835965609111,12,0.1,ieee_cis
5,2,IEEE-Bank2,fedprox,ieee,0.0,0.0,0,0.1,ieee_cis
5,3,IEEE-Bank3,fedprox,ieee,0.28366013071895424,0.4443652403405266,1286,0.1,ieee_cis
10,0,IEEE-Bank0,fedprox,ieee,0.2840855106888361,0.489178150683516,1790,0.1,ieee_cis
10,1,IEEE-Bank1,fedprox,ieee,0.18461538461538463,0.08433835965609111,12,0.1,ieee_cis
10,2,IEEE-Bank2,fedprox,ieee,0.0,0.0,0,0.1,ieee_cis
10,3,IEEE-Bank3,fedprox,ieee,0.28366013071895424,0.4443652403405266,1286,0.1,ieee_cis
15,0,IEEE-Bank0,fedprox,ieee,0.2840855106888361,0.489178150683516,1790,0.1,ieee_cis
15,1,IEEE-Bank1,fedprox,ieee,0.18461538461538463,0.08433835965609111,12,0.1,ieee_cis
15,2,IEEE-Bank2,fedprox,ieee,0.0,0.0,0,0.1,ieee_cis
15,3,IEEE-Bank3,fedprox,ieee,0.28366013071895424,0.4443652403405266,1286,0.1,ieee_cis
20,0,IEEE-Bank0,fedprox,ieee,0.2840855106888361,0.489178150683516,1790,0.1,ieee_cis
20,1,IEEE-Bank1,fedprox,ieee,0.18461538461538463,0.08433835965609111,12,0.1,ieee_cis
20,2,IEEE-Bank2,fedprox,ieee,0.0,0.0,0,0.1,ieee_cis
20,3,IEEE-Bank3,fedprox,ieee,0.28366013071895424,0.4443652403405266,1286,0.1,ieee_cis
5,0,IEEE-Bank0,fednova,ieee,0.11058451816745656,0.4215815623034005,1790,0.1,ieee_cis
5,1,IEEE-Bank1,fednova,ieee,0.2222222222222222,0.07698665642524995,12,0.1,ieee_cis
5,2,IEEE-Bank2,fednova,ieee,0.0,0.0,0,0.1,ieee_cis
5,3,IEEE-Bank3,fednova,ieee,0.10866372980910426,0.37374487481794694,1286,0.1,ieee_cis
10,0,IEEE-Bank0,fednova,ieee,0.11058451816745656,0.42158115465368695,1790,0.1,ieee_cis
10,1,IEEE-Bank1,fednova,ieee,0.2222222222222222,0.07698665642524995,12,0.1,ieee_cis
10,2,IEEE-Bank2,fednova,ieee,0.0,0.0,0,0.1,ieee_cis
10,3,IEEE-Bank3,fednova,ieee,0.10866372980910426,0.3737447916835045,1286,0.1,ieee_cis
15,0,IEEE-Bank0,fednova,ieee,0.11058451816745656,0.42158117872406187,1790,0.1,ieee_cis
15,1,IEEE-Bank1,fednova,ieee,0.2222222222222222,0.07698665642524995,12,0.1,ieee_cis
15,2,IEEE-Bank2,fednova,ieee,0.0,0.0,0,0.1,ieee_cis
15,3,IEEE-Bank3,fednova,ieee,0.10866372980910426,0.37374481772645723,1286,0.1,ieee_cis
20,0,IEEE-Bank0,fednova,ieee,0.11058451816745656,0.42158115465368695,1790,0.1,ieee_cis
20,1,IEEE-Bank1,fednova,ieee,0.2222222222222222,0.07698665642524995,12,0.1,ieee_cis
20,2,IEEE-Bank2,fednova,ieee,0.0,0.0,0,0.1,ieee_cis
20,3,IEEE-Bank3,fednova,ieee,0.10866372980910426,0.37374480783253455,1286,0.1,ieee_cis
5,0,IEEE-Bank0,persfl,ieee,0.44547563805104406,0.49651686431824876,1790,0.1,ieee_cis
5,1,IEEE-Bank1,persfl,ieee,0.05555555555555555,0.02234803176941135,12,0.1,ieee_cis
5,2,IEEE-Bank2,persfl,ieee,0.0,0.0,0,0.1,ieee_cis
5,3,IEEE-Bank3,persfl,ieee,0.45978152929493543,0.4705626914002091,1286,0.1,ieee_cis
10,0,IEEE-Bank0,persfl,ieee,0.44547563805104406,0.49651686431824876,1790,0.1,ieee_cis
10,1,IEEE-Bank1,persfl,ieee,0.05555555555555555,0.02234803176941135,12,0.1,ieee_cis
10,2,IEEE-Bank2,persfl,ieee,0.0,0.0,0,0.1,ieee_cis
10,3,IEEE-Bank3,persfl,ieee,0.45978152929493543,0.4705626914002091,1286,0.1,ieee_cis
15,0,IEEE-Bank0,persfl,ieee,0.44547563805104406,0.49651686431824876,1790,0.1,ieee_cis
15,1,IEEE-Bank1,persfl,ieee,0.05555555555555555,0.02234803176941135,12,0.1,ieee_cis
15,2,IEEE-Bank2,persfl,ieee,0.0,0.0,0,0.1,ieee_cis
15,3,IEEE-Bank3,persfl,ieee,0.45978152929493543,0.4705626914002091,1286,0.1,ieee_cis
20,0,IEEE-Bank0,persfl,ieee,0.44547563805104406,0.49651686431824876,1790,0.1,ieee_cis
20,1,IEEE-Bank1,persfl,ieee,0.05555555555555555,0.02234803176941135,12,0.1,ieee_cis
20,2,IEEE-Bank2,persfl,ieee,0.0,0.0,0,0.1,ieee_cis
20,3,IEEE-Bank3,persfl,ieee,0.45978152929493543,0.4705626914002091,1286,0.1,ieee_cis
5,0,IEEE-Bank0,scaffold,ieee,0.11058451816745656,0.42157692965124877,1790,0.1,ieee_cis
5,1,IEEE-Bank1,scaffold,ieee,0.2222222222222222,0.07698665642524995,12,0.1,ieee_cis
5,2,IEEE-Bank2,scaffold,ieee,0.0,0.0,0,0.1,ieee_cis
5,3,IEEE-Bank3,scaffold,ieee,0.10866372980910426,0.37373766499371075,1286,0.1,ieee_cis
10,0,IEEE-Bank0,scaffold,ieee,0.11058451816745656,0.4215770559559467,1790,0.1,ieee_cis
10,1,IEEE-Bank1,scaffold,ieee,0.2222222222222222,0.07698665642524995,12,0.1,ieee_cis
10,2,IEEE-Bank2,scaffold,ieee,0.0,0.0,0,0.1,ieee_cis
10,3,IEEE-Bank3,scaffold,ieee,0.10866372980910426,0.37373766499371075,1286,0.1,ieee_cis
