round,bank_id,bank_name,strategy,source,f1,auprc,n_test_fraud,alpha,dataset
15,0,IBM-Bank0,persfl,ibm,0.000671366230278617,0.0004986823375840996,9,0.05,HI-Small
15,1,IBM-Bank1,persfl,ibm,0.0,0.0002826455624646693,1,0.05,HI-Small
15,2,IBM-Bank2,persfl,ibm,0.0,0.0003227272596998295,3,0.05,HI-Small
15,3,IBM-Bank3,persfl,ibm,0.15218121933185455,0.1067466101281834,1547,0.05,HI-Small
20,0,IBM-Bank0,persfl,ibm,0.0009789525208027412,0.00047376379293598915,9,0.05,HI-Small
20,1,IBM-Bank1,persfl,ibm,0.0,0.00020242914979757084,1,0.05,HI-Small
20,2,IBM-Bank2,persfl,ibm,0.0,0.0002677448835285047,3,0.05,HI-Small
20,3,IBM-Bank3,persfl,ibm,0.14912161241999183,0.0961654293694682,1547,0.05,HI-Small
5,0,IBM-Bank0,scaffold,ibm,0.0,0.0005502387639167729,9,0.05,HI-Small
5,1,IBM-Bank1,scaffold,ibm,0.0,0.0003363605785401951,1,0.05,HI-Small
5,2,IBM-Bank2,scaffold,ibm,0.0,0.000494694786526295,3,0.05,HI-Small
5,3,IBM-Bank3,scaffold,ibm,0.0,0.057241764138243355,1547,0.05,HI-Small
10,0,IBM-Bank0,scaffold,ibm,0.0,0.00045222839366049005,9,0.05,HI-Small
10,1,IBM-Bank1,scaffold,ibm,0.0,0.00021208907741251324,1,0.05,HI-Small
10,2,IBM-Bank2,scaffold,ibm,0.0,0.0006249521011436638,3,0.05,HI-Small
10,3,IBM-Bank3,scaffold,ibm,0.0,0.07168236272126104,1547,0.05,HI-Small
15,0,IBM-Bank0,scaffold,ibm,0.0,0.0004295949524163982,9,0.05,HI-Small
15,1,IBM-Bank1,scaffold,ibm,0.0,0.00031416902293433867,1,0.05,HI-Small
15,2,IBM-Bank2,scaffold,ibm,0.0,0.0004667457858448117,3,0.05,HI-Small
15,3,IBM-Bank3,scaffold,ibm,0.0,0.0684057345928549,1547,0.05,HI-Small
20,0,IBM-Bank0,scaffold,ibm,0.0,0.00046444466954039454,9,0.05,HI-Small
20,1,IBM-Bank1,scaffold,ibm,0.0,0.0003780718336483932,1,0.05,HI-Small
20,2,IBM-Bank2,scaffold,ibm,0.0,0.0006706495623882273,3,0.05,HI-Small
20,3,IBM-Bank3,scaffold,ibm,0.0,0.06139188976147828,1547,0.05,HI-Small
5,0,IBM-Bank0,fedavgm,ibm,0.0,0.00014707204967500444,9,0.05,HI-Small
5,1,IBM-Bank1,fedavgm,ibm,0.0,8.896005693443644e-05,1,0.05,HI-Small
5,2,IBM-Bank2,fedavgm,ibm,0.0,7.507901352128697e-05,3,0.05,HI-Small
5,3,IBM-Bank3,fedavgm,ibm,0.0,0.01785311491097493,1547,0.05,HI-Small
10,0,IBM-Bank0,fedavgm,ibm,0.0,0.0003560312334867881,9,0.05,HI-Small
10,1,IBM-Bank1,fedavgm,ibm,0.0,9.47867298578199e-05,1,0.05,HI-Small
10,2,IBM-Bank2,fedavgm,ibm,0.0024154589371980675,0.0018681118980174672,3,0.05,HI-Small
10,3,IBM-Bank3,fedavgm,ibm,0.045454545454545456,0.04632248359888125,1547,0.05,HI-Small
15,0,IBM-Bank0,fedavgm,ibm,0.0009782342871117633,0.00038593200566422437,9,0.05,HI-Small
15,1,IBM-Bank1,fedavgm,ibm,0.0,0.00011771630370806356,1,0.05,HI-Small
15,2,IBM-Bank2,fedavgm,ibm,0.00048484848484848484,0.00031896252225721447,3,0.05,HI-Small
15,3,IBM-Bank3,fedavgm,ibm,0.09929565366775468,0.05292984439718515,1547,0.05,HI-Small
20,0,IBM-Bank0,fedavgm,ibm,0.0005094243504839531,0.00041547152247652645,9,0.05,HI-Small
20,1,IBM-Bank1,fedavgm,ibm,0.0,0.00021528525296017224,1,0.05,HI-Small
20,2,IBM-Bank2,fedavgm,ibm,0.0005011275369581559,0.00034825186816195075,3,0.05,HI-Small
20,3,IBM-Bank3,fedavgm,ibm,0.11931523430745287,0.06272046739156036,1547,0.05,HI-Small
