round,bank_id,bank_name,strategy,source,f1,auprc,n_test_fraud,alpha,dataset
15,3,IBM-Bank3,persfl,ibm,0.04286505603136052,0.029414992640810742,678,0.05,LI-Small
20,0,IBM-Bank0,persfl,ibm,0.0,0.0,0,0.05,LI-Small
20,1,IBM-Bank1,persfl,ibm,0.004120260091418271,0.001893691876181214,72,0.05,LI-Small
20,2,IBM-Bank2,persfl,ibm,0.0,0.0,0,0.05,LI-Small
20,3,IBM-Bank3,persfl,ibm,0.04522169228051581,0.03248848205821166,678,0.05,LI-Small
5,0,IBM-Bank0,scaffold,ibm,0.0,0.0,0,0.05,LI-Small
5,1,IBM-Bank1,scaffold,ibm,0.0,0.007300345984168569,72,0.05,LI-Small
5,2,IBM-Bank2,scaffold,ibm,0.0,0.0,0,0.05,LI-Small
5,3,IBM-Bank3,scaffold,ibm,0.0,0.015577111879326337,678,0.05,LI-Small
10,0,IBM-Bank0,scaffold,ibm,0.0,0.0,0,0.05,LI-Small
10,1,IBM-Bank1,scaffold,ibm,0.0,0.0033701291534930867,72,0.05,LI-Small
10,2,IBM-Bank2,scaffold,ibm,0.0,0.0,0,0.05,LI-Small
10,3,IBM-Bank3,scaffold,ibm,0.0,0.015605413239819744,678,0.05,LI-Small
15,0,IBM-Bank0,scaffold,ibm,0.0,0.0,0,0.05,LI-Small
15,1,IBM-Bank1,scaffold,ibm,0.0,0.001063780237511721,72,0.05,LI-Small
15,2,IBM-Bank2,scaffold,ibm,0.0,0.0,0,0.05,LI-Small
15,3,IBM-Bank3,scaffold,ibm,0.0,0.013376160290541641,678,0.05,LI-Small
20,0,IBM-Bank0,scaffold,ibm,0.0,0.0,0,0.05,LI-Small
20,1,IBM-Bank1,scaffold,ibm,0.0,0.0021486324313617486,72,0.05,LI-Small
20,2,IBM-Bank2,scaffold,ibm,0.0,0.0,0,0.05,LI-Small
20,3,IBM-Bank3,scaffold,ibm,0.0,0.015027691782544657,678,0.05,LI-Small
5,0,IBM-Bank0,fedavgm,ibm,0.0,0.0,0,0.05,LI-Small
5,1,IBM-Bank1,fedavgm,ibm,0.0,0.00019571354455971373,72,0.05,LI-Small
5,2,IBM-Bank2,fedavgm,ibm,0.0,0.0,0,0.05,LI-Small
5,3,IBM-Bank3,fedavgm,ibm,0.0,0.0017049386386188007,678,0.05,LI-Small
10,0,IBM-Bank0,fedavgm,ibm,0.0,0.0,0,0.05,LI-Small
10,1,IBM-Bank1,fedavgm,ibm,0.0,0.00030844501010876367,72,0.05,LI-Small
10,2,IBM-Bank2,fedavgm,ibm,0.0,0.0,0,0.05,LI-Small
10,3,IBM-Bank3,fedavgm,ibm,0.001398014818957081,0.002579712571769632,678,0.05,LI-Small
15,0,IBM-Bank0,fedavgm,ibm,0.0,0.0,0,0.05,LI-Small
15,1,IBM-Bank1,fedavgm,ibm,0.010914051841746248,0.012213120387553957,72,0.05,LI-Small
15,2,IBM-Bank2,fedavgm,ibm,0.0,0.0,0,0.05,LI-Small
15,3,IBM-Bank3,fedavgm,ibm,0.05276256844201095,0.024089519579795958,678,0.05,LI-Small
20,0,IBM-Bank0,fedavgm,ibm,0.0,0.0,0,0.05,LI-Small
20,1,IBM-Bank1,fedavgm,ibm,0.0018387986515476554,0.0016379505168490599,72,0.05,LI-Small
20,2,IBM-Bank2,fedavgm,ibm,0.0,0.0,0,0.05,LI-Small
20,3,IBM-Bank3,fedavgm,ibm,0.03497042941630239,0.013374736723864144,678,0.05,LI-Small
