strategy,round,bank,auprc,alpha
fedavg,20,PaySim-Bank4,0.8688382456533222,0.1
fedprox,1,PaySim-Bank0,0.8583365498473062,0.1
fedprox,1,PaySim-Bank1,0.8802721549484314,0.1
fedprox,1,PaySim-Bank2,1.0,0.1
fedprox,1,PaySim-Bank3,1.0,0.1
fedprox,1,PaySim-Bank4,0.8816341634427812,0.1
fedprox,2,PaySim-Bank0,0.8334445460191681,0.1
fedprox,2,PaySim-Bank1,0.902080060528052,0.1
fedprox,2,PaySim-Bank2,1.0,0.1
fedprox,2,PaySim-Bank3,1.0,0.1
fedprox,2,PaySim-Bank4,0.8713188723926572,0.1
fedprox,3,PaySim-Bank0,0.8439393587748074,0.1
fedprox,3,PaySim-Bank1,0.9167522978922737,0.1
fedprox,3,PaySim-Bank2,1.0,0.1
fedprox,3,PaySim-Bank3,1.0,0.1
fedprox,3,PaySim-Bank4,0.8670459625156917,0.1
fedprox,4,PaySim-Bank0,0.8686976603971776,0.1
fedprox,4,PaySim-Bank1,0.8549411550254724,0.1
fedprox,4,PaySim-Bank2,1.0,0.1
fedprox,4,PaySim-Bank3,1.0,0.1
fedprox,4,PaySim-Bank4,0.8858950069746606,0.1
fedprox,5,PaySim-Bank0,0.8240624001351459,0.1
fedprox,5,PaySim-Bank1,0.9126937630555261,0.1
fedprox,5,PaySim-Bank2,1.0,0.1
fedprox,5,PaySim-Bank3,1.0,0.1
fedprox,5,PaySim-Bank4,0.8555801675705319,0.1
fedprox,6,PaySim-Bank0,0.8224695816860303,0.1
fedprox,6,PaySim-Bank1,0.8861800075512234,0.1
fedprox,6,PaySim-Bank2,1.0,0.1
fedprox,6,PaySim-Bank3,1.0,0.1
fedprox,6,PaySim-Bank4,0.8620797925089498,0.1
fedprox,7,PaySim-Bank0,0.8337983540667924,0.1
fedprox,7,PaySim-Bank1,0.8806661727019351,0.1
fedprox,7,PaySim-Bank2,1.0,0.1
fedprox,7,PaySim-Bank3,1.0,0.1
fedprox,7,PaySim-Bank4,0.863507724041408,0.1
fedprox,8,PaySim-Bank0,0.8138678484082456,0.1
fedprox,8,PaySim-Bank1,0.9046014645045333,0.1
fedprox,8,PaySim-Bank2,1.0,0.1
fedprox,8,PaySim-Bank3,1.0,0.1
fedprox,8,PaySim-Bank4,0.8484870987212044,0.1
fedprox,9,PaySim-Bank0,0.8292298464774366,0.1
fedprox,9,PaySim-Bank1,0.8638166724275536,0.1
fedprox,9,PaySim-Bank2,1.0,0.1
fedprox,9,PaySim-Bank3,1.0,0.1
fedprox,9,PaySim-Bank4,0.8538109874262968,0.1
fedprox,10,PaySim-Bank0,0.8586889208130392,0.1
fedprox,10,PaySim-Bank1,0.9073995407717396,0.1
fedprox,10,PaySim-Bank2,1.0,0.1
