strategy,round,bank,auprc,alpha
fedavg,1,PaySim-Bank0,0.43561466842007385,0.05
fedavg,1,PaySim-Bank1,0.8508119006885982,0.05
fedavg,1,PaySim-Bank4,0.5523076730678373,0.05
fedavg,2,PaySim-Bank0,0.42846464638034737,0.05
fedavg,2,PaySim-Bank1,0.8638260863624544,0.05
fedavg,2,PaySim-Bank4,0.5419228287347747,0.05
fedavg,3,PaySim-Bank0,0.49448943928827654,0.05
fedavg,3,PaySim-Bank1,0.8984172916442752,0.05
fedavg,3,PaySim-Bank4,0.7568285070685311,0.05
fedavg,4,PaySim-Bank0,0.45108757145106054,0.05
fedavg,4,PaySim-Bank1,0.8466683868507123,0.05
fedavg,4,PaySim-Bank4,0.49827772024235367,0.05
fedavg,5,PaySim-Bank0,0.441866429808505,0.05
fedavg,5,PaySim-Bank1,0.8427701509932592,0.05
fedavg,5,PaySim-Bank4,0.5523017000106696,0.05
fedavg,6,PaySim-Bank0,0.45556994432282283,0.05
fedavg,6,PaySim-Bank1,0.8959043966537454,0.05
fedavg,6,PaySim-Bank4,0.5350560664963012,0.05
fedavg,7,PaySim-Bank0,0.47090448959421677,0.05
fedavg,7,PaySim-Bank1,0.8498430591500847,0.05
fedavg,7,PaySim-Bank4,0.5834498367645424,0.05
fedavg,8,PaySim-Bank0,0.5408357122843294,0.05
fedavg,8,PaySim-Bank1,0.9114837571691361,0.05
fedavg,8,PaySim-Bank4,0.7659098812907147,0.05
fedavg,9,PaySim-Bank0,0.44332794101928036,0.05
fedavg,9,PaySim-Bank1,0.8796895255400989,0.05
fedavg,9,PaySim-Bank4,0.5519985222528614,0.05
fedavg,10,PaySim-Bank0,0.43172371774719753,0.05
fedavg,10,PaySim-Bank1,0.8834549951262897,0.05
fedavg,10,PaySim-Bank4,0.5223811255631041,0.05
fedavg,11,PaySim-Bank0,0.5586943208210946,0.05
fedavg,11,PaySim-Bank1,0.8895447347408465,0.05
fedavg,11,PaySim-Bank4,0.7218404081206551,0.05
fedavg,12,PaySim-Bank0,0.47261556484753375,0.05
fedavg,12,PaySim-Bank1,0.87375181464044,0.05
fedavg,12,PaySim-Bank4,0.601416418698697,0.05
fedavg,13,PaySim-Bank0,0.4525250406134879,0.05
fedavg,13,PaySim-Bank1,0.8431478912279098,0.05
fedavg,13,PaySim-Bank4,0.5712732507143855,0.05
fedavg,14,PaySim-Bank0,0.7032399119397728,0.05
fedavg,14,PaySim-Bank1,0.9142102586590191,0.05
fedavg,14,PaySim-Bank4,0.8317096707919035,0.05
fedavg,15,PaySim-Bank0,0.4697291665697197,0.05
fedavg,15,PaySim-Bank1,0.8707406102140642,0.05
fedavg,15,PaySim-Bank4,0.5902340415410237,0.05
fedavg,16,PaySim-Bank0,0.43775656528056156,0.05
fedavg,16,PaySim-Bank1,0.8938266915996234,0.05
fedavg,16,PaySim-Bank4,0.568055163070075,0.05
fedavg,17,PaySim-Bank0,0.43924777064866655,0.05
fedavg,17,PaySim-Bank1,0.8876049699023613,0.05
fedavg,17,PaySim-Bank4,0.5718566090824572,0.05
fedavg,18,PaySim-Bank0,0.5305138687965967,0.05
fedavg,18,PaySim-Bank1,0.8573900890415732,0.05
fedavg,18,PaySim-Bank4,0.6558147750065242,0.05
fedavg,19,PaySim-Bank0,0.47571425123108313,0.05
fedavg,19,PaySim-Bank1,0.8729631612066325,0.05
fedavg,19,PaySim-Bank4,0.5805904864847816,0.05
fedavg,20,PaySim-Bank0,0.7278963392142929,0.05
fedavg,20,PaySim-Bank1,0.853663052211187,0.05
fedavg,20,PaySim-Bank4,0.8318818291601253,0.05
fedprox,1,PaySim-Bank0,0.5541328839087335,0.05
fedprox,1,PaySim-Bank1,0.8394862573127518,0.05
fedprox,1,PaySim-Bank4,0.7013545216904118,0.05
fedprox,2,PaySim-Bank0,0.629818628366649,0.05
fedprox,2,PaySim-Bank1,0.8920440785868501,0.05
