strategy,round,bank,auprc,alpha
fedavg,1,PaySim-Bank0,0.8653876211516747,0.5
fedavg,1,PaySim-Bank1,0.829915391358024,0.5
fedavg,1,PaySim-Bank2,0.5030300709194294,0.5
fedavg,1,PaySim-Bank3,0.8104033499845662,0.5
fedavg,1,PaySim-Bank4,0.857105782915581,0.5
fedavg,2,PaySim-Bank0,0.8738871519984622,0.5
fedavg,2,PaySim-Bank1,0.854290352486422,0.5
fedavg,2,PaySim-Bank2,0.33525459538117763,0.5
fedavg,2,PaySim-Bank3,0.7898987091474295,0.5
fedavg,2,PaySim-Bank4,0.8665185275599024,0.5
fedavg,3,PaySim-Bank0,0.8776204395817191,0.5
fedavg,3,PaySim-Bank1,0.830966866679761,0.5
fedavg,3,PaySim-Bank2,0.5029939455603241,0.5
fedavg,3,PaySim-Bank3,0.8144066065538056,0.5
fedavg,3,PaySim-Bank4,0.8737741348031509,0.5
fedavg,4,PaySim-Bank0,0.8729845700307971,0.5
fedavg,4,PaySim-Bank1,0.8461995528028842,0.5
fedavg,4,PaySim-Bank2,0.4193968277424757,0.5
fedavg,4,PaySim-Bank3,0.7839356996107409,0.5
fedavg,4,PaySim-Bank4,0.8643426948970037,0.5
fedavg,5,PaySim-Bank0,0.8589713826115354,0.5
fedavg,5,PaySim-Bank1,0.8298294668937629,0.5
fedavg,5,PaySim-Bank2,0.5017554583543231,0.5
fedavg,5,PaySim-Bank3,0.8149210077842532,0.5
fedavg,5,PaySim-Bank4,0.853301952382047,0.5
fedavg,6,PaySim-Bank0,0.8772942757799082,0.5
fedavg,6,PaySim-Bank1,0.8414802897658866,0.5
fedavg,6,PaySim-Bank2,0.5023148634821855,0.5
fedavg,6,PaySim-Bank3,0.8049046497230729,0.5
fedavg,6,PaySim-Bank4,0.8682105918410289,0.5
fedavg,7,PaySim-Bank0,0.8756287646727068,0.5
fedavg,7,PaySim-Bank1,0.8520073774724928,0.5
fedavg,7,PaySim-Bank2,0.5019298805955481,0.5
fedavg,7,PaySim-Bank3,0.782995732650266,0.5
fedavg,7,PaySim-Bank4,0.8676131362762771,0.5
fedavg,8,PaySim-Bank0,0.8770178230171978,0.5
fedavg,8,PaySim-Bank1,0.8642679339648329,0.5
fedavg,8,PaySim-Bank2,0.5020033191085823,0.5
fedavg,8,PaySim-Bank3,0.7889802394151941,0.5
fedavg,8,PaySim-Bank4,0.871893324982642,0.5
fedavg,9,PaySim-Bank0,0.8690111168945971,0.5
fedavg,9,PaySim-Bank1,0.8525937906199172,0.5
fedavg,9,PaySim-Bank2,0.5026388283097266,0.5
fedavg,9,PaySim-Bank3,0.7936623659423726,0.5
fedavg,9,PaySim-Bank4,0.860008125798245,0.5
fedavg,10,PaySim-Bank0,0.8672074856225632,0.5
fedavg,10,PaySim-Bank1,0.8210010367494265,0.5
fedavg,10,PaySim-Bank2,0.5031329947871583,0.5
fedavg,10,PaySim-Bank3,0.816658591485301,0.5
fedavg,10,PaySim-Bank4,0.8564370936383728,0.5
fedavg,11,PaySim-Bank0,0.8639184819958152,0.5
fedavg,11,PaySim-Bank1,0.8249479630569441,0.5
fedavg,11,PaySim-Bank2,0.5024298134765113,0.5
fedavg,11,PaySim-Bank3,0.8134163279319858,0.5
fedavg,11,PaySim-Bank4,0.8518615816013098,0.5
fedavg,12,PaySim-Bank0,0.8683056809890688,0.5
fedavg,12,PaySim-Bank1,0.8412062271667514,0.5
fedavg,12,PaySim-Bank2,0.5025478927203065,0.5
